2020-03-12 10:43:57,1238053109970190336,#excited for tonight,"#excited for tonight
",excited
2020-03-12 10:30:00,1238049597135740929,Look out for the New Conference Pack orders taken from the 30th March for more details on prices contact the Conference team on 01928513365 #excited #conference,"look out for the new conference pack orders taken from the 30th march for more details on prices contact the conference team on 01928513365 #excited #conference
",excited
2020-03-12 10:01:47,1238042496329973761,Selfcation coming up ☺️ #excited,"selection coming up ☺️ #excited
",excited
2020-03-12 06:09:59,1237984159949156352,Lots of updates today... on YouTube and Twitch. Getting new Mic soon #Excited,"lots of updates today.. on couture and twitch. getting new mic soon #excited
",excited
2020-03-12 04:18:52,1237956198101549056,Just bought tickets to nexts weeks #nba raptors game #excited,"just bought tickets to nexts weeks #na raptors game #excited
",excited
2020-03-12 03:29:22,1237943739768864770,My phone is working again #excited,"my phone is working again #excited
",excited
2020-03-12 03:24:44,1237942576596033536,I’m gonna master rocket league over this extended break #excited,"i’m gonna master rocket league over this extended break #excited
",excited
2020-03-12 03:10:03,1237938879279308800,"I am excited. 

#Excited #SoonCome","i am excited. 

#excited #oncome
",excited
2020-03-12 02:56:51,1237935556895674375,"Everything is ready and I hope you all are ready to see the new video on Friday @ 5:00 pm Central time.
#excited #youtubegaming","everything is ready and i hope you all are ready to see the new video on friday @ 5:00 pm central time.
#excited #youtubegaming
",excited
2020-03-12 02:01:23,1237921599153725441,i get to see two bad bitches tomorrow #excited,"i get to see two bad bitches tomorrow #excited
",excited
2020-03-12 00:25:17,1237897415346151432,A thought out plan is needed. First step is putting the plan on paper. Spent the last 3 hours doing so. #Excited,"a thought out plan is needed. first step is putting the plan on paper. spent the last 3 hours doing so. #excited
",excited
2020-03-11 23:33:36,1237884408519995395,Work finished...now packing for #CheltenhamFestival #Excited,"work finished..now packing for #cheltenhamfestival #excited
",excited
2020-03-11 22:49:02,1237873195211874304,"I really am about to bring 
this web series to life... 
I finally got something 
I can over indulge 
myself in 😇

#excited","i really am about to bring 
this web series to life.. 
i finally got something 
i can over indulge 
myself in 😇

#excited
",excited
2020-03-11 21:14:10,1237849321069875202,Got accepted to 4 summer programs. I've decided to accept an offer conducting research for Harvard at MGH! #Excited,"got accepted to 4 summer programs. i've decided to accept an offer conducting research for harvard at mgt! #excited
",excited
2020-03-11 21:09:28,1237848137760292864,officially moving out! Let this new exciting chapter begin! #excited,"officially moving out! let this new exciting chapter begin! #excited
",excited
2020-03-11 20:18:41,1237835355572686849,Nrl is back..... thank you.... I am even excited to watch Parramatta v Bulldogs - that’s my point lol #excited #WTigers,"nl is back.. thank you.. i am even excited to watch parramatta v bulldogs - that’s my point low #excited #tigers
",excited
2020-03-11 20:13:54,1237834153590128641,Farm trip tomorrow with 70 4-5 year olds. Wish me luck 😂 #excited,"farm trip tomorrow with 70 4-5 year olds. wish me luck 😂 #excited
",excited
2020-03-11 20:01:54,1237831132001034241,I start my boxing 🥊🥊class Friday morning #Excited,"i start my boxing 🥊🥊class friday morning #excited
",excited
2020-03-11 19:29:27,1237822966475427841,"Going to Fredericksburg next weekend for some wine tasting and relaxing. I’ve obviously never been spoiled by a man with dates like these before, so i’m a little shook lol #excited","going to fredericksburg next weekend for some wine tasting and relaxing. i’ve obviously never been spoiled by a man with dates like these before, so i’m a little shook low #excited
",excited
2020-03-11 19:11:22,1237818413898256386,New flat!!!! #excited,"new flat!! #excited
",excited
2020-03-11 18:14:43,1237804158704648194,I cleaned all my brushes the other day!! That means super play time today.  #EXCITED,"i cleaned all my brushes the other day!! that means super play time today.  #excited
",excited
2020-03-11 17:28:54,1237792627854118912,"Can’t wait for my ass to be fat enough to shake in jeans 
#excited","can’t wait for my ass to be fat enough to shake in jeans 
#excited
",excited
2020-03-11 16:08:52,1237772488261730309,They put something in the air.... And nothing will be like it WAS bad or good people are #excited if they make it... Maybe,"they put something in the air.. and nothing will be like it was bad or good people are #excited if they make it.. maybe
",excited
2020-03-11 15:27:55,1237762182181511168,Socks and sandals season is just around the corner #excited,"socks and sandals season is just around the corner #excited
",excited
2020-03-11 14:38:00,1237749622522732554,Gonna do my unboxing soonnnnnnnn #excited,"gonna do my unboxing soon #excited
",excited
2020-03-11 14:27:20,1237746936293326849,Get my free trainer session at the gym today #excited,"get my free trainer session at the gym today #excited
",excited
2020-03-11 13:59:57,1237740045035098115,"Started saving to have 2 built in kink cupboards built and kitted out, got the plans drawn up but it's gonna take a while #excited","started saving to have 2 built in kink cupboards built and kitted out, got the plans drawn up but it is gonna take a while #excited
",excited
2020-03-11 13:54:11,1237738594023944192,My birthday is on august 23 ;) #CantWait #excited,"my birthday is on august 23 ;) #cantraip #excited
",excited
2020-03-11 13:01:11,1237725255684128773,Watching Kingdom season 1 again to refresh my memory before season 2 comes this friday! #excited,"watching kingdom season 1 again to refresh my memory before season 2 comes this friday! #excited
",excited
2020-03-11 11:33:10,1237703104935665664,"One more sleep until Bolton, Ontario! #happygirl #excited","one more sleep until boston, ontario! #happygirl #excited
",excited
2020-03-11 11:12:55,1237698010538299393,Year 1 please remember your packed lunch for tomorrow's big day out to Milton Keynes Museum.  #Excited!,"year 1 please remember your packed lunch for tomorrow's big day out to milton keynes museum.  #excited!
",excited
2020-03-11 08:30:44,1237657196437086208,"I think The Art(s) of Slow Cinema magazine Issue 02 is DONE! One more proof-read (because I want it to be perfect for you), and then I can bring this baby into the world ☺️ #SlowCinema #excited","i think the art(s) of slow cinema magazine issue 02 is done! one more proof-read (because i want it to be perfect for you), and then i can bring this baby into the world ☺️ #slowcinema #excited
",excited
2020-03-11 06:51:54,1237632323929149440,9 more days  #AnimalCrossingNewHorizons #excited,"9 more days  #animalcrossingnewhorizons #excited
",excited
2020-03-11 06:38:51,1237629037914144768,Hey guys who is ready for the first episode? #excited,"hey guys who is ready for the first episode? #excited
",excited
2020-03-11 06:06:37,1237620928474951680,"Day 17: March 10th
Completed Section 6 of Udemy Python course, was really stressing out on learning a new language but getting better at it. It feels great! 
Learnt CSS animation properties. It's amazing how I'm enjoying this journey of #100DaysOfCode #excited","day 17: march 10th
completed section 6 of demy python course, was really stressing out on learning a new language but getting better at it. it feels great! 
learnt ass animation properties. it is amazing how I am enjoying this journey of #100daysof courseode #excited
",excited
2020-03-11 05:33:14,1237612527225163777,When u are doing something u haven't done for ages #excited #nervous,"when u are doing something u have not done for ages #excited #nervous
",excited
2020-03-11 04:32:33,1237597254355050496,Woot! Just got an email from Steam that my #ValveIndex is preparing to ship. #excited,"woot! just got an email from steam that my #valveindex is preparing to ship. #excited
",excited
2020-03-11 03:56:07,1237588085350653957,Bae said he got me a kitchenAid for Mother’s Day. Ig I’m going to be baking like a pro now 👩‍🍳 #Excited,"bae said he got me a kitchenmaid for mother’s day. ig i’m going to be baking like a pro now 👩‍🍳 #excited
",excited
2020-03-11 03:25:16,1237580323057094656,"I let my girl check my phone and now she’s packing her things! I guess we’re going on vacation!😍
#Excited","i let my girl check my phone and now she’s packing her things! i guess we’re going on vacation!😍
#excited
",excited
2020-03-11 02:28:49,1237566113744998401,So much to look forward too #excited,"so much to look forward too #excited
",excited
2020-03-11 02:13:58,1237562377006022656,Found Laura a gentleman caller. He’s coming tomorrow and mom is going crazy about it. #excited #finally,"found laura a gentleman caller. he’s coming tomorrow and mom is going crazy about it. #excited #finally
",excited
2020-03-11 02:05:47,1237560319444041728,27) tournament today was bad but at least I had my flight home to Germany to look forward to. I’m sitting in the plane rn and am looking forward to being home for a few days so much. #excited,"27) tournament today was bad but at least i had my flight home to germany to look forward to. i’m sitting in the plane rn and am looking forward to being home for a few days so much. #excited
",excited
2020-03-11 01:18:39,1237548455658000387,Hiking tomorrow!! #excited,"hiking tomorrow!! #excited
",excited
2020-03-11 01:18:06,1237548320400142338,About to start filming another film #Excited 🎥,"about to start filming another film #excited 🎥
",excited
2020-03-11 01:13:03,1237547049597300737,Tomorrows the day 😍 #excited,"tomorrows the day 😍 #excited
",excited
2020-03-11 01:10:43,1237546460289224704,Ori is so close #oriandthewillofthewisps #excited https://t.co/cL77nDXlmm,"or is so close #oriandthewillofthewisps #excited http://t.co/cl77ndxlmm
",excited
2020-03-10 23:54:44,1237527338067185664,Three weeks until Alex and I close on our house! Wish us luck! #excited #thehomebuyingprocesssuckedthough,"three weeks until flex and i close on our house! wish us luck! #excited #thehomebuyingprocessuckedthough
",excited
2020-03-10 23:05:52,1237515042481987585,this finna be the best trip ever LMAO #excited,"this winna be the best trip ever lao #excited
",excited
2020-03-10 22:02:52,1237499188583100416,Tomorrow will be the first time I've ridden a bike that I owned for myself in probably 30 years! #Excited,"tomorrow will be the first time i've ridden a bike that i owned for myself in probably 30 years! #excited
",excited
2020-03-10 21:40:50,1237493642383720460,"Who's going to be BOI's 100th follower?

#excited #blogger","who has / who is going to be boy's 100th follower?

#excited #blogger
",excited
2020-03-10 20:04:31,1237469404968947718,"Heading to war right now, I've just said goodbye to my family and friends. I'm so excited! Can't wait to show everyone what i'm made of! Also this will look good on my resume :) #excited (July 28 1914)","heading to war right now, i've just said goodbye to my family and friends. I am so excited! cannot wait to show everyone what I am made of! also this will look good on my resume :) #excited (july 28 1914)
",excited
2020-03-10 19:46:50,1237464954644525056,I have a fucking A in math. This has never happened before #excited,"i have a fucking a in math. this has never happened before #excited
",excited
2020-03-10 18:30:16,1237445686389506049,290 days left for Christmas #Excited,"290 days left for christmas #excited
",excited
2020-03-10 17:45:17,1237434362364395520,"We're looking forward to the #CNOSummit2020 tomorrow! Come visit us at stand 31 where we've got brand new case studies, a prize draw opportunity and a team that is eager to hear your thoughts and answer questions. #excited 😀","we are looking forward to the #cnosummit2020 tomorrow! come visit us at stand 31 where we have got brand new case studies, a prize draw opportunity and a team that is eager to hear your thoughts and answer questions. #excited 😀
",excited
2020-03-10 17:43:25,1237433893231435777,Dope ideas talking with friends around the globe about Kombat Art Exhibition weekend or WEEK. No fixed date yet....but it will involve music and hopefully we can have musicians to come and join. Tell your friends to start painting already #Excited #KombatArtExhibition,"dope ideas talking with friends around the globe about combat art exhibition weekend or week. no fixed date yet..but it will involve music and hopefully we can have musicians to come and join. tell your friends to start painting already #excited #kombatartexhibition
",excited
2020-03-10 15:46:47,1237404541961863169,''I am so #excited for all of the good things to coming..'' ✨,"''i am so #excited for all of the good things to coming..'' ✨
",excited
2020-03-10 15:34:49,1237401529545605120,"After a lot of coffee, late nights and big discussions our new business, Keep It Real Web Design, is almost ready to be launched #kir #excited Watch this space! 😃","after a lot of coffee, late nights and big discussions our new business, keep it real web design, is almost ready to be launched #kir #excited watch this space! 😃
",excited
2020-03-10 15:17:04,1237397064159551488,Great night last night for what I remember. Gatsby is taking me on this hydro plane I think it is tmo #excited,"great night last night for what i remember. gatsby is taking me on this hydro plane i think it is to #excited
",excited
2020-03-10 15:16:48,1237396997461729280,Eeeeeekkkkkk!!!! My NMC pin has come through!!! Nurse Hampton at the ready! #allnewtothis #excited,"eek!! my nm pin has come through!! nurse champion at the ready! #allnewtothis #excited
",excited
2020-03-10 15:14:49,1237396496850522112,Woke up to 3 jobs offers today at the hospital and got a call saying we were approved for our apartment!! It’s a good day... it’s a good life. #excited #future,"woke up to 3 jobs offers today at the hospital and got a call saying we were approved for our apartment!! it’s a good day.. it’s a good life. #excited #future
",excited
2020-03-10 15:07:50,1237394740074577925,"There’s this pretty chill moment when you’re trying not to hype yourself up, but I don’t want to put yourself down. Idk idk just pray for me, y’all. Good or bad, change is happening. #excited","there’s this pretty chill moment when you’re trying not to hype yourself up, but i don’t want to put yourself down. ink ink just pray for me, y’all. good or bad, change is happening. #excited
",excited
2020-03-10 14:45:46,1237389185960427521,2.5 weeks until new car!!!! Hurry and build the damn thing!!! #Excited,"2.5 weeks until new car!! hurry and build the damn thing!! #excited
",excited
2020-03-10 14:19:35,1237382596700536833,Starting a new book today 🤓😁 #Excited,"starting a new book today 🤓😁 #excited
",excited
2020-03-10 14:06:02,1237379188006543360,okay my friend said she'll watch the first episode of the untamed with me this evening...will she keep her promise??? #excited,"okay my friend said she will watch the first episode of the untamed with me this evening..will she keep her promise?? #excited
",excited
2020-03-10 13:48:58,1237374893999742976,"I pimped my sous vide, I got something to circulate the water, I made a casing/housing for the heating element, and I got a digital thermostat.. Next purchase is an automatic off switch, probably on the plug so its time controlled. #Excited","i pimped my sous vide, i got something to circulate the water, i made a casing/housing for the heating element, and i got a digital thermostat.. next purchase is an automatic off switch, probably on the plug so its time controlled. #excited
",excited
2020-03-10 13:09:46,1237365026853437441,If you could bottle this feeling and sell it you’d be a millionaire before the end of the day! #Excited #CheltenhamFestival,"if you could bottle this feeling and sell it you’d be a millionaire before the end of the day! #excited #cheltenhamfestival
",excited
2020-03-10 12:47:48,1237359498664259584,I’m gonna to go see my grandma #excited,"i’m gonna to go see my grandma #excited
",excited
2020-03-10 12:09:43,1237349915317198850,Just found out there might be a person who knows about the lock and key #excited,"just found out there might be a person who knows about the lock and key #excited
",excited
2020-03-10 11:57:39,1237346879613984768,10 days to go Birthday na YEYYYYY #Excited #birthday,"10 days to go birthday na very #excited #birthday
",excited
2020-03-10 10:49:01,1237329605977165825,Looking forward to hosting a night out in LDN at one of the top clubs #excited,"looking forward to hosting a night out in lan at one of the top clubs #excited
",excited
2020-03-10 09:57:04,1237316533359165440,2 more months until my vacation! Good morning everyone! Have a lovely Tuesday! #excited #GoodMorning,"2 more months until my vacation! good morning everyone! have a lovely tuesday! #excited #goodmorning
",excited
2020-03-10 07:24:44,1237278199740084224,New tattoo in May  #Excited,"new tattoo in may  #excited
",excited
2020-03-10 03:54:08,1237225200103632897,"Yooo. Purim celebration tomorrow. 

Because I deserve to start day drinking at 10am and eat kosher smoked meats all day while wearing cat ears. #ideservethis #excited","you. purim celebration tomorrow. 

because i deserve to start day drinking at 10am and eat kosher smoked meats all day while wearing cat ears. #ideservethis #excited
",excited
2020-03-10 03:29:37,1237219029871251457,"At some point we all have to choose, between what the world wants you to be and what you really are...
#BlackWidow cant wait for the movie #Excited","at some point we all have to choose, between what the world wants you to be and what you really are..
#blackwidow cant wait for the movie #excited
",excited
2020-03-10 02:25:18,1237202842567561218,Last week we got our first set of feedback from those who took our performance survey! We're excited to review and analyze it! #excited,"last week we got our first set of feedback from those who took our performance survey! we are excited to review and analyze it! #excited
",excited
2020-03-10 02:22:35,1237202158707187717,Been waiting for a time to hop back on a game seriously. #warzone #excited,"been waiting for a time to hop back on a game seriously. #carvone #excited
",excited
2020-03-10 01:52:14,1237194520518942720,"Everybody ready for McMillions!!!!!
#McMillionsHBO #excited","everybody ready for millions!!
#mcmillionshbo #excited
",excited
2020-03-10 01:42:38,1237192103379095553,"I’m #excited for when I die, cuz then I don’t have to deal with bullshit anymore. Or do I have to deal with bullshit in the afterlife, too? If God is real or fake, I guess I’ll know for sure when I’m dead. 😌","i’m #excited for when i die, cuz then i don’t have to deal with bullshit anymore. or do i have to deal with bullshit in the afterlife, too? if god is real or fake, i guess i’ll know for sure when i’m dead. 😌
",excited
2020-03-10 00:35:22,1237175178758475776,Just had a quick look at progress for our new house. Looks like roof going up at the moment. Stage walk through with builder on Friday morning 👏🏻#excited,"just had a quick look at progress for our new house. looks like roof going up at the moment. stage walk through with builder on friday morning 👏🏻#excited
",excited
2020-03-10 00:29:41,1237173745090834433,I have a meeting tomorrow with a new producer I’ve never worked with beforeeee #excited,"i have a meeting tomorrow with a new producer i’ve never worked with before #excited
",excited
2020-03-10 00:29:33,1237173711775469569,Just reserved my 65 day dry aged tomahawk steak for my birthday dinner.. #excited,"just reserved my 65 day dry aged tomahawk steak for my birthday dinner.. #excited
",excited
2020-03-10 00:13:29,1237169670798618624,Change your circle and you’ll change your life ❤️ #excited,"change your circle and you’ll change your life ❤️ #excited
",excited
2020-03-09 22:09:17,1237138413599559683,Reminder to all students on the Drama London trip - we are meeting at 9.45 am tomorrow #excited,"reminder to all students on the drama london trip - we are meeting at 9.45 am tomorrow #excited
",excited
2020-03-09 21:30:57,1237128768394756096,very #excited for the porter song tomorrow,"very #excited for the porter song tomorrow
",excited
2020-03-09 21:29:43,1237128455139008513,I'm going to see We will rock you tomorrow!! :)  #excited,"I am going to see we will rock you tomorrow!! :)  #excited
",excited
2020-03-09 18:16:53,1237079929596100610,He’ll be landing in less than an hour. #excited,"he’ll be landing in less than an hour. #excited
",excited
2020-03-09 16:15:37,1237049412905504769,My own brand is currently in the making. I can't wait till its done so i can unveil it. #excited,"my own brand is currently in the making. i cannot wait till its done so i can unveil it. #excited
",excited
2020-03-09 15:11:52,1237033368790818822,I’ve never been more excited to be at work.... #ahhhhhhh #excited,"i’ve never been more excited to be at work.. #ahh #excited
",excited
2020-03-09 15:04:51,1237031603643301889,Off to get my new iPhone 11! #excited #MondayVibes,"off to get my new phone 11! #excited #mondayvibes
",excited
2020-03-09 14:55:11,1237029168484777984,iDECIDE albums delivered kanina. Hindi ko pa nabuksan ang box. But I will post them tomorrow. #Excited i only bought 10 copies. Kaya bala na. Lol,"decide albums delivered mania. hindi ko pa nabuksan and box. but i will post them tomorrow. #excited i only bought 10 copies. kasa ball na. low
",excited
2020-03-09 14:39:00,1237025097879302146,Time for a fun filled day at the dmv!!#excited,"time for a fun filled day at the mv!!#excited
",excited
2020-03-09 13:52:00,1237013267660201984,My friend is pregnant and I was the first one she told!!!!!!!🥰 #excited,"my friend is pregnant and i was the first one she told!!🥰 #excited
",excited
2020-03-09 10:50:52,1236967685910679552,This is going to be an amazing week! #Excited,"this is going to be an amazing week! #excited
",excited
2020-03-09 09:31:41,1236947756557594624,2 slots reserved for makeup workshop this coming Sunday!!  #excited 😍,"2 slots reserved for makeup workshop this coming sunday!!  #excited 😍
",excited
2020-03-09 08:56:42,1236938952994459648,Check your e-mails and our Cake Social Media channels tomorrow Tuesday... #excited,"check your e-mails and our cake social media channels tomorrow tuesday.. #excited
",excited
2020-03-09 07:33:50,1236918101377236994,"I’m actually allowed to announce Im going to be a nana, thought I was going to burst #excited","i’m actually allowed to announce im going to be a nana, thought i was going to burst #excited
",excited
2020-03-09 07:24:04,1236915642550321153,I'm on my way into London on an earlier train than normal to go to the Self Publishing Formula conference today. #excited,"I am on my way into london on an earlier train than normal to go to the self publishing formula conference today. #excited
",excited
2020-03-09 07:11:02,1236912360352288769,Day one of my second placement.  #nervous #excited,"day one of my second placement.  #nervous #excited
",excited
2020-03-09 04:23:23,1236870171903569920,It took me 23 years to finally get me some aligners. 😬 #excited,"it took me 23 years to finally get me some aligners. 😬 #excited
",excited
2020-03-09 03:59:06,1236864060055928838,"I was spared from backing up into a van a few days ago &amp; I was so relieved. I was spared from getting crushed by a faulty structure &amp; I felt rescued... I've been saved from eternal separation from God &amp; damnation through faith in Jesus, and I am forever grateful! #excited","i was spared from backing up into a van a few days ago &amp; i was so relieved. i was spared from getting crushed by a faulty structure &amp; i felt rescued.. i've been saved from eternal separation from god &amp; damnation through faith in jesus, and i am forever grateful! #excited
",excited
2020-03-09 03:54:20,1236862860300517376,This weekend was way too crazy at work. 😭 It was insane in the market today. But hitting that OT is going to help when I go to ATX next weekend!!! 🙌 #excited,"this weekend was way too crazy at work. 😭 it was insane in the market today. but hitting that ot is going to help when i go to at next weekend!! 🙌 #excited
",excited
2020-03-09 02:09:03,1236836365431500800,See you in a bit #Bearseum ❤️ #excited 🥰,"see you in a bit #berseem ❤️ #excited 🥰
",excited
2020-03-09 01:28:25,1236826138359578624,Got something in the works this week that should get me back into the game. I hope you're all as #excited as I will be for a #youtubegaming vid,"got something in the works this week that should get me back into the game. i hope you are all as #excited as i will be for a #youtubegaming vid
",excited
2020-03-09 00:35:45,1236812886707703814,Wrote a first draft for a horror themed children’s picture book and going to run it by my kids tonight. #excited,"wrote a first draft for a horror themed children’s picture book and going to run it by my kids tonight. #excited
",excited
2020-03-09 00:18:46,1236808611642425344,"The older boys go out to hunt the beast. This is my first time hunting and I’m excited by the fact that i almost hit a pig. At this point the boys are afraid, but are not willing to show it. #excited #afraid","the older boys go out to hunt the beast. this is my first time hunting and i’m excited by the fact that i almost hit a pig. at this point the boys are afraid, but are not willing to show it. #excited #afraid
",excited
2020-03-08 23:54:29,1236802498783899648,ELITE S3 is coming this friday. #Excited,"elite s3 is coming this friday. #excited
",excited
2020-03-08 23:06:46,1236790491859111938,I cant wait to make a wish on the moon tonight #excited,"i cant wait to make a wish on the moon tonight #excited
",excited
