2020-03-12 10:43:57,1238053109970190336,#excited for tonight,"#excited for tonight
2020-03-08 22:14:33,1236777350974627841,Going to start my new work tomorrow...Wish me luck!🙊 #excited,"going to start my new work tomorrow..wish me luck!🙊 #excited
",excited
2020-03-08 22:10:39,1236776371927597057,1st flight of 2020 in a couple of weeks... #Excited #CantWait,"1st flight of 2020 in a couple of weeks.. #excited #cantraip
",excited
2020-03-08 20:44:18,1236754641360228353,"Just finished creating a new soundtrack for my intro/outro! Planning on going live tonight and testing a new game!
#excited #creator","just finished creating a new soundtrack for my intro/outre! planning on going live tonight and testing a new game!
#excited #creator
",excited
2020-03-08 17:31:18,1236706068304183296,Found a new True Crime Podcast. #excited,"found a new true crime podcast. #excited
",excited
2020-03-08 17:02:00,1236698694377930752,Kilbowie P7s - school hall will be open from 8.45am tomorrow #excited #LPSkilbowie20,"killogie p7s - school hall will be open from 8.45am tomorrow #excited #lpskilbowie20
",excited
2020-03-08 16:29:09,1236690429032181760,Made some lemonade while Jim and Laura had a serious talk #wonderwhatitwasabout #excited,"made some lemonade while jim and laura had a serious talk #wonderwhatitwasabout #excited
",excited
2020-03-08 16:03:37,1236684002045702145,It’s moving day 😩😴 #Excited #Lazy,"it’s moving day 😩😴 #excited #lazy
",excited
2020-03-08 14:23:15,1236658743745695744,house shopping with Sam is my fave thing to do EVER 🥰 #excited,"house shopping with sam is my fave thing to do ever 🥰 #excited
",excited
2020-03-08 13:55:26,1236651744735748097,"Well, it's official. I now own a PS4 and have pre-ordered the #FF7Remake . 100% gonna stream me playing the demo and also stream the game when I get it. #excited","well, it is official. i now own a ps4 and have pre-ordered the #ff7remake . 100% gonna stream me playing the demo and also stream the game when i get it. #excited
",excited
2020-03-08 13:09:47,1236640256042110976,Baecation in Montreal at the end of the month! Love traveling #EXCITED,"vacation in montreal at the end of the month! love traveling #excited
",excited
2020-03-08 08:05:00,1236563555920441344,Brooke is gonna do my eyebrows #excited,"broke is gonna do my eyebrows #excited
",excited
2020-03-08 07:48:43,1236559455459909633,Finished the chapter and edited it. It ended up being 6939 words and is probably one of the longest chapters in the book. It’s 15 typed pages and 32 hand written pages. Tomorrow I’m gonna write out the epilogue and Mad World’s first draft will officially be done. #excited,"finished the chapter and edited it. it ended up being 6939 words and is probably one of the longest chapters in the book. it’s 15 typed pages and 32 hand written pages. tomorrow i’m gonna write out the epilogue and mad world’s first draft will officially be done. #excited
",excited
2020-03-08 02:11:57,1236474707035279360,I can’t wait to see where I’ll be in a year.. two years #excited,"i can’t wait to see where i’ll be in a year.. two years #excited
",excited
2020-03-08 00:29:58,1236449044198817792,Okay so time to start back watchin tv series again... Guna start with money heist 😁 #excited Hope its good!,"okay so time to start back watching tv series again.. guna start with money heist 😁 #excited hope its good!
",excited
2020-03-08 00:26:21,1236448131601985537,"On Friday u are going to see our work!!!!

#Excited","on friday u are going to see our work!!

#excited
",excited
2020-03-07 23:54:36,1236440144204439554,Gonna be so busy this week #excited,"gonna be so busy this week #excited
",excited
2020-03-07 23:31:05,1236434223675965440,A CRISIS IS COMING!! 😁 I am so excited to finally be able to watch CRISIS ON INFINITE EARTHS!!! Thank you #Arrowverse #excited,"a crisis is coming!! 😁 i am so excited to finally be able to watch crisis on infinite earths!! thank you #arrowverse #excited
",excited
2020-03-07 22:50:27,1236423996922408960,"Y’all. Time change is tomorrow. Yaaassss. 
#timechange #excited","y’all. time change is tomorrow. years. 
#timechange #excited
",excited
2020-03-07 21:36:28,1236405378012733440,Just started harp lessons; so I wouldn’t have to take it in heaven. #Excited,"just started harp lessons; so i wouldn’t have to take it in heaven. #excited
",excited
2020-03-07 21:30:54,1236403980516941826,By the time I’m 30. I will definitely be in the millionaire club #Excited,"by the time i’m 30. i will definitely be in the millionaire club #excited
",excited
2020-03-07 21:14:14,1236399783973138433,I’m working with such a talented team on a short film :) #Excited,"i’m working with such a talented team on a short film :) #excited
",excited
2020-03-07 16:56:59,1236335045096472581,My hair has passed armpit length!! #excited #naturalhair,"my hair has passed armpit length!! #excited #naturalhair
",excited
2020-03-07 15:34:04,1236314177725071362,𓂀 have to remain calm  focus on the bullshit and write music ☀️ #Excited,"𓂀 have to remain calm  focus on the bullshit and write music ☀️ #excited
",excited
2020-03-07 15:23:55,1236311624417304576,"Seeing the place where I'm supposed to be makes my heart flutter more than anything else. So excited to be part of something I can call my passion. Never been this excited after seeing my soon to be fam. 
#excited 
#readytoexplore","seeing the place where I am supposed to be makes my heart flutter more than anything else. so excited to be part of something i can call my passion. never been this excited after seeing my soon to be fam. 
#excited 
#readytoexplore
",excited
2020-03-07 14:51:04,1236303357003923457,I’m off to DC taking my daughter for the first time!!! The drive starts now getting gas can’t wait to see everyone #excited #pacing,"i’m off to dc taking my daughter for the first time!! the drive starts now getting gas can’t wait to see everyone #excited #pacing
",excited
2020-03-07 13:48:51,1236287699146936322,I get my car today!! #excited,"i get my car today!! #excited
",excited
2020-03-07 11:08:53,1236247444893184003,"Favouritist friend is en-route from Oxford. 

If we could all wish for fair weather and no traffic, that’d be marvellous, please and thank you 

#excited","favouritism friend is en-route from oxford. 

if we could all wish for fair weather and no traffic, that’d be marvellous, please and thank you 

#excited
",excited
2020-03-07 10:02:50,1236230822451167238,New Take Note promotion is up on the website and the Kids' Corner is coming soon! #excited #takenote,"new take note promotion is up on the website and the kids' corner is coming soon! #excited #taenite
",excited
2020-03-07 09:41:45,1236225515645800453,We have a little news coming next week! #Excited #NewMusicAlert,"we have a little news coming next week! #excited #newmusicalert
",excited
2020-03-07 06:10:51,1236172440352567297,The Big Day is finally here!  In a few short hours my gorgeous girl goes off to marry her good-looking groom #Excited #Emotional,"the big day is finally here!  in a few short hours my gorgeous girl goes off to marry her good-looking groom #excited #emotional
",excited
2020-03-07 05:49:44,1236167125691174912,Just drunk ordered a buffalo chicken calzone #excited,"just drunk ordered a buffalo chicken calzone #excited
",excited
2020-03-07 04:00:10,1236139554370813952,"I was doing a ton of paid Facebook marketing for a client early this year but have since ramped it down which has allowed me to focus on creating content and building the brand. Now, I'm stepping back into paid marketing with some fresh insights. #Excited #Marketing","i was doing a ton of paid datebook marketing for a client early this year but have since ramped it down which has allowed me to focus on creating content and building the brand. now, I am stepping back into paid marketing with some fresh insights. #excited #marketing
",excited
2020-03-07 03:18:14,1236128998301806592,Y’all I’m really getting into this Auntie stuff. #excited,"y’all i’m really getting into this auntie stuff. #excited
",excited
2020-03-12 11:13:13,1238060472060035074,The greatest gift a man can give me is his time 🤗,"the greatest gift a man can give me is his time 🤗
",excited
2020-03-12 11:13:13,1238060471707549697,enlo ate hehehe we used to play dati pero we grew older syempre medyo away from each other naa pero i hope we could meet againn and play like dati hehe 🤪,"ento ate tehee we used to play date per we grew older sempre medio away from each other naa per i hope we could meet again and play like date here 🤪
",excited
2020-03-12 11:12:42,1238060342116151297,"Incoming items:
Innocence stock sales
Moonjerry stock sales
Saint stock sales
Raffine stock sales
Junsaeng slogan set
Ltr goods

🤩","incoming items:
innocence stock sales
moonery stock sales
saint stock sales
raffing stock sales
junsaeng slogan set
ltr goods

🤩
",excited
2020-03-12 11:12:35,1238060313318027266,Who said i'm hard to forget ? Nope you didn't know me well 🤪,"who said I am hard to forget ? nope you did not know me well 🤪
",excited
2020-03-12 11:12:11,1238060214743633927,These flight so cheap I wanna take a mini baecation next weekend 🤪,"these flight so cheap i wanna take a mini vacation next weekend 🤪
",excited
2020-03-12 11:11:59,1238060162180616193,"i want jimin’s fat, girthy cock inside me. my hole deserves to be ripped apart by him. 🤪 i want his dick to slide in and out of me fast. fuck me so hard. fuck me till i’m so loose.🥵 i want his cock to slide in and out of my mouth","i want jiminy’s fat, girth cock inside me. my hole deserves to be ripped apart by him. 🤪 i want his dick to slide in and out of me fast. fuck me so hard. fuck me till i’m so loose.🥵 i want his cock to slide in and out of my mouth
",excited
2020-03-12 11:11:53,1238060136259702784,Excited to watch handong soon 🤩,"excited to watch handing soon 🤩
",excited
2020-03-12 11:11:43,1238060096271159296,stay safe everyone 🤗,"stay safe everyone 🤗
",excited
2020-03-12 11:11:37,1238060069717082114,Sorry boss not for today 🤗😂,"sorry boss not for today 🤗😂
",excited
2020-03-12 11:11:33,1238060053858410496,"1. school
2. six years
3. yes hehe
4. naman
5. every time im with him hehe
6. bully hmph jk 1/2
7. black
8. 😡
9. unexpected
10. ek hehe jk unless?
11. HIM 🤪
12. dapat lang HAHAHAH
13. bothh
14. yes!!
15. for sureee

fave &amp; I’ll send u a name","1. school
2. six years
3. yes here
4. naan
5. every time im with him here
6. bully umph j 1/2
7. black
8. 😡
9. unexpected
10. e here j unless?
11. him 🤪
12. darat lang halachah
13. both
14. yes!!
15. for sure

fave &amp; i’ll send u a name
",excited
2020-03-12 11:11:32,1238060051455266816,Everyone do the reply to Samriti’s texts challenge 🤪,"everyone do the reply to smriti’s texts challenge 🤪
",excited
2020-03-12 11:11:22,1238060005569355776,Goodevening 🤗,"goodevening 🤗
",excited
2020-03-12 11:11:21,1238060003505762304,Only God can save us😉🤗,"only god can save us😉🤗
",excited
2020-03-12 11:11:20,1238060000372609025,loving my boo 🤪,"loving my boo 🤪
",excited
2020-03-12 11:11:12,1238059963978670080,the feelings that i got for you its true 🤪,"the feelings that i got for you its true 🤪
",excited
2020-03-12 11:11:10,1238059956324073472,I love the clingy &amp; sungogan glorie 🤪,"i love the clingy &amp; suggan glories 🤪
",excited
2020-03-12 11:11:09,1238059954944294912,"Just made the mistake of calling in Cleveleys Morrisons, overheard an old man say “oh don’t get that it’s made in Italy” with reference to a Loyd Grossman pasta sauce, whilst moaning there was only expensive pasta left. 🤪 #panicbuying #Cleveleys","just made the mistake of calling in levelers morrions, overheard an old man say “oh don’t get that it’s made in italy” with reference to a loud grassman pasta sauce, whilst moaning there was only expensive pasta left. 🤪 #panicbuying #levelers
",excited
2020-03-12 11:11:05,1238059936426442752,Look who is trending Worldwide 🤩,"look who is trending worldwide 🤩
",excited
2020-03-12 11:10:55,1238059895636647939,"Hello, im bored and i realized na 5 years na akong walang bangs 🤪. So should i bangs???","hello, im bored and i realized na 5 years na among lalang bangs 🤪. so should i bangs??
",excited
2020-03-12 11:10:49,1238059867568472064,john mayer’s best song is the voicemail he left for halsey on 3am 🤪,"john layer’s best song is the voicemail he left for halser on 3am 🤪
",excited
2020-03-12 11:10:48,1238059865173397504,"fave this &amp; i’ll send u a name

1. school and past crush :D
2. 2 yrs
3. as a broooo
4. hang out is da word
5. R O N A L D
6. emotionally suppressive ;(
7. Violet
8. 🤩
9. I LOVE YOUUU 😌
10. EVERYWHERE
11. YES
12. YES
13. YES 
14. YES
15. YES","fave this &amp; i’ll send u a name

1. school and past crush :d
2. 2 yrs
3. as a broo
4. hang out is da word
5. r o n a l d
6. emotionally suppressive ;(
7. violet
8. 🤩
9. i love you 😌
10. everywhere
11. yes
12. yes
13. yes 
14. yes
15. yes
",excited
2020-03-12 11:10:47,1238059860207570945,"One kind word 
can change 
Someone’s
entire day 🤗","one kind word 
can change 
someone’s
entire day 🤗
",excited
2020-03-12 11:10:36,1238059813478621184,"fvck #/endviolence, it's #/startviolence time to shine 🤩","fuck #/endviolence, it is #/startviolence time to shine 🤩
",excited
2020-03-12 11:10:33,1238059799993933824,Credits to the owner 🤗,"credits to the owner 🤗
",excited
2020-03-12 11:10:32,1238059798207188992,"Btw the most annoying Kevin stan is back , hello 🤩","bow the most annoying levin stand is back , hello 🤩
",excited
2020-03-12 11:10:19,1238059741445668866,Fisher le 5 avril..🤩 IM LOSINGGGG IT,"fisher le 5 avail..🤩 im losing it
",excited
2020-03-12 11:10:13,1238059716787326976,"Expose yourself:

1. Yesss
2. Nah
3. Nope
4. Black
5. D
6. Getwell haha
7. Of course boys
8. Last tuesday night (the night he replied) hihi
9. Wag na snob, hmp
10. 17 y/o
11. Yes
12. Naaah
13. 🤗","expose yourself:

1. less
2. nah
3. nope
4. black
5. d
6. retell haha
7. of course boys
8. last tuesday night (the night he replied) ihi
9. wag na snob, hip
10. 17 y/o
11. yes
12. noah
13. 🤗
",excited
2020-03-12 11:10:04,1238059678409666560,My lightiny will be delivered TODAY 😌🤩,"my lighting will be delivered today 😌🤩
",excited
2020-03-12 11:10:00,1238059665113542657,Happy ako for u 🤗,"happy ako for u 🤗
",excited
2020-03-12 11:09:51,1238059627054600192,Going on a field trip with my little devil sister wish me luck 🤗,"going on a field trip with my little devil sister wish me luck 🤗
",excited
2020-03-12 11:09:51,1238059625859239936,Jeongin went live n no one told me 🤩 thanks for the kind consideration haha,"jenkin went live n no one told me 🤩 thanks for the kind consideration haha
",excited
2020-03-12 11:09:49,1238059618653396994,Gettin tatted next week 🤗,"getting tatted next week 🤗
",excited
2020-03-12 11:09:31,1238059541402697734,Some of the tweets under the hashtag #TrumpVirus are worse than corona virus itself. It’s too late for some of those fruitcakes 🤪,"some of the tweets under the hangtag #trumpvirus are worse than corona virus itself. it’s too late for some of those fruitcakes 🤪
",excited
2020-03-12 11:09:29,1238059531739021313,it’s corona time 🤪,"it’s corona time 🤪
",excited
2020-03-12 11:09:14,1238059469591977984,8 pounds down 🤗 #ThursdayMotivation,"8 pounds down 🤗 #thursdaymotivation
",excited
2020-03-12 11:09:12,1238059463312994306,seungyul stop being dumb dumb challenge 🤪,"seungyul stop being dumb dumb challenge 🤪
",excited
2020-03-12 11:09:09,1238059450943991809,"I was be like, not only me being clingy but my hsbn pun cligy namatiy 🤪","i was be like, not only me being clingy but my son pun clingy namatio 🤪
",excited
2020-03-12 11:09:09,1238059447634628608,i live for that time of the day 🤪,"i live for that time of the day 🤪
",excited
2020-03-12 11:09:02,1238059419688153090,Tgfad 🤩,"glad 🤩
",excited
2020-03-12 11:08:59,1238059408224948224,Moving to Flag sooner than expected 🤗,"moving to flag sooner than expected 🤗
",excited
2020-03-12 11:08:58,1238059401971298309,Now watch this bounce back 🤪,"now watch this bounce back 🤪
",excited
2020-03-12 11:08:56,1238059396388786178,If I get corona virus i’m linking w all my hoes 🤗,"if i get corona virus i’m linking w all my hoes 🤗
",excited
2020-03-12 11:08:53,1238059384359526408,"bitcoin is parabolic rn
never seen anything like it
swings of +/- $200 in minutes
what is happening?!?!
u can’t even trade this
moving 2 fast
🤪","bitcoin is parabolic rn
never seen anything like it
swings of +/- $200 in minutes
what is happening?!?!
u can’t even trade this
moving 2 fast
🤪
",excited
2020-03-12 11:08:43,1238059340235325440,flop = dukhahgases gc is to blame 🤪,"flop = dukhahgases gc is to blame 🤪
",excited
2020-03-12 11:08:31,1238059289824178176,another exam today 🤩 hopefully i pass,"another exam today 🤩 hopefully i pass
",excited
2020-03-12 11:08:21,1238059249671884801,Nothing is impossible for those who believe 🤗💖,"nothing is impossible for those who believe 🤗💖
",excited
2020-03-12 11:08:04,1238059175998939138,It is in the blood sisterrrr 🤪,"it is in the blood sister 🤪
",excited
2020-03-12 11:08:00,1238059161050443776,I wuv u self 🤪,"i wun u self 🤪
",excited
2020-03-12 11:07:59,1238059156680118272,Good morning !! 🤗💕,"good morning !! 🤗💕
",excited
2020-03-12 11:07:52,1238059127726727168,See you in a bit 🤗,"see you in a bit 🤗
",excited
2020-03-12 11:07:42,1238059084579921921,"Less than 48 hrs
More than 1100 items

🤪","less than 48 hrs
more than 1100 items

🤪
",excited
2020-03-12 11:07:32,1238059041231900673,n e ways i hate my mom 🤩,"n e ways i hate my mom 🤩
",excited
2020-03-12 11:07:29,1238059028804259845,Tell me where your love lies waste the day and spend the night 🤪,"tell me where your love lies waste the day and spend the night 🤪
",excited
2020-03-12 11:07:21,1238058995291734016,taking a break from this account for today cause I'm pissed and mad 🤪,"taking a break from this account for today cause I am pissed and mad 🤪
",excited
2020-03-12 11:06:58,1238058898285670403,Hello bitches!!🤗,"hello bitches!!🤗
",excited
2020-03-12 11:06:54,1238058882104266752,uhaaaaaaaaw 🤪,"thaw 🤪
",excited
2020-03-12 11:06:35,1238058803658096642,"I can’t imagine my life being a egirl bc knowing myself if I was getting a bag, I wouldn’t want a partner. I’ll be traveling all the time, take online classes, maybe live in another country or just buy myself a house 🤩 mannn but I love the life I have, no one get to see my body","i can’t imagine my life being a girl bc knowing myself if i was getting a bag, i wouldn’t want a partner. i’ll be traveling all the time, take online classes, maybe live in another country or just buy myself a house 🤩 man but i love the life i have, no one get to see my body
",excited
2020-03-12 11:06:33,1238058793889484800,"expose yourself ;

1. no
2. no
3. no
4. ang shade of blue sang dress ni heloise
5. n/a
6. n/a
7. Why eat one flavour of ice cream when you can try them all?
8. hmm birthday ko?
9. n/a
10. 16 going 30
11. yes lmao
12. no
13. 🤪

🧡 and i’ll send you the questions !!","expose yourself ;

1. no
2. no
3. no
4. and shade of blue sang dress ni heroise
5. n/a
6. n/a
7. why eat one flavour of ice cream when you can try them all?
8. hmm birthday ko?
9. n/a
10. 16 going 30
11. yes lao
12. no
13. 🤪

🧡 and i’ll send you the questions !!
",excited
2020-03-12 11:06:29,1238058780241178629,Oh wait but hopefully kjm1 will come and save us 🤩🔥,"oh wait but hopefully km1 will come and save us 🤩🔥
",excited
2020-03-12 11:06:15,1238058718383620096,"This is not a scam, I promise. 🤗","this is not a scam, i promise. 🤗
",excited
2020-03-12 11:06:14,1238058713920962561,It’s 6am and I’m already blasting sad songs 🤩,"it’s 6am and i’m already blasting sad songs 🤩
",excited
2020-03-12 11:06:10,1238058700176273408,Free block today so give me a sec and I’ll probably finish the AU today 🤩,"free block today so give me a sec and i’ll probably finish the au today 🤩
",excited
2020-03-12 11:06:10,1238058699064774656,UBS tbf 3 m target on gold $1790.  So bullish near term.  🤪,"us tbs 3 m target on gold $1790.  so bullish near term.  🤪
",excited
2020-03-12 11:05:58,1238058649223921664,Profit in Dubai with cashout 🤩 my friend is so fye lol,"profit in rubai with washout 🤩 my friend is so eye low
",excited
2020-03-12 11:05:54,1238058632928952322,Now we can spend more time together now that they games are suspended 🤗,"now we can spend more time together now that they games are suspended 🤗
",excited
2020-03-12 11:05:43,1238058586976038917,Hehe I’m getting my chicken 🤩,"here i’m getting my chicken 🤩
",excited
2020-03-12 11:05:41,1238058577555750915,"Niggas stay trynna trap a bitch with a kid but guess what? “No sirrrr, not me 🤗 *inserts Rick Ross meme*","nights stay trying trap a bitch with a kid but guess what? “no sir, not me 🤗 *inserts rick ross meme*
",excited
2020-03-12 11:05:32,1238058537521008640,Lmao mans just threw 2 packs of pad on my table and slowly went tf outta my room like I was a bomb 💀 well I am a bomb on my period so 🤩,"lao mans just threw 2 packs of pad on my table and slowly went of outta my room like i was a bomb 💀 well i am a bomb on my period so 🤩
",excited
2020-03-12 11:05:32,1238058537491681281,funny thing about karma — it hits you right where you dont expect it to 🤪☺️,"funny thing about karma — it hits you right where you dont expect it to 🤪☺️
",excited
2020-03-12 11:05:30,1238058530315386880,It’s a beautiful day in NJ! 🤗,"it’s a beautiful day in nj! 🤗
",excited
2020-03-12 11:05:24,1238058506869145602,*timeS 😋🤪,"*times 😋🤪
",excited
2020-03-12 11:05:23,1238058502515560448,I forgot how good it felt to lose weight 🤩,"i forgot how good it felt to lose weight 🤩
",excited
2020-03-12 11:05:16,1238058472450605057,Dahil Audit na next week bawal mag leave this month tapos required OT everyday. 🤪,"dail audit na next week basal mag leave this month tapes required ot everyday. 🤪
",excited
2020-03-12 11:05:10,1238058448148787200,okay lesbians follow me 🤪✨,"okay lesbians follow me 🤪✨
",excited
2020-03-12 11:05:09,1238058442058850304,Almost friday...  🤩,"almost friday..  🤩
",excited
2020-03-12 11:04:54,1238058381857955842,currently showing flu-like symptoms... this might be it streaks 🤩,"currently showing flu-like symptoms.. this might be it streaks 🤩
",excited
2020-03-12 11:04:51,1238058367123423233,Finally ordered my travel system buggy 🤩,"finally ordered my travel system buggy 🤩
",excited
2020-03-12 11:04:50,1238058364665561088,if my college gets closed bc of corona it gives me 2 weeks to play animal crossing new horizons on my own let’s go 🤩,"if my college gets closed bc of corona it gives me 2 weeks to play animal crossing new horizons on my own let’s go 🤩
",excited
2020-03-12 11:04:48,1238058353885974529,Home! 🤗,"home! 🤗
",excited
2020-03-12 11:04:07,1238058181219115008,OMAYGASHHH MARGAAA!! YESSSS! FINALLYY!!! 🤩,"omaygashh marga!! less! finally!! 🤩
",excited
2020-03-12 11:03:54,1238058127167111168,Downloading the app so i can support my girl today ✊🤩,"downloading the app so i can support my girl today ✊🤩
",excited
2020-03-12 11:03:51,1238058115893014532,"I was defending my friend against 60 year old men who were attacking HIM, but I’m the one who gets a warning for bullying. 🤪","i was defending my friend against 60 year old men who were attacking him, but i’m the one who gets a warning for bullying. 🤪
",excited
2020-03-12 11:03:51,1238058115611820033,daming chicks sa twttr 🤩😍,"daring chicks sa tutor 🤩😍
",excited
2020-03-12 11:03:49,1238058107823173632,People will forever put you in a bad mood . Don’t let that ruin your day though 🤗😌,"people will forever put you in a bad mood . don’t let that ruin your day though 🤗😌
",excited
2020-03-12 11:03:35,1238058046904889344,wayv comeback 🤩,"way comeback 🤩
",excited
2020-03-12 11:03:33,1238058038382268419,Me and baby Ky goodt 🤗,"me and baby ky good 🤗
",excited
2020-03-12 11:03:31,1238058033780944896,"i love wonwoo but pledis is he really the distraction ????? you should have asked the members who rarely post 🤪
#no_weverse","i love wonton but pleis is he really the distraction ?? you should have asked the members who rarely post 🤪
#no_reverse
",excited
2020-03-12 11:03:19,1238057981922533377,"1. Nah
2. Nah
3. Yaz
4. Blue
5. C
6. I want you to achieve every dreams na sinabi mo sakin even without me.
7. Girls
8. Idunno
9. Be protons, be strong, stay safe because better days will come.
10. 18
11. Nah
12. Nah
13. 🤗

❤ and i'll send you the questions","1. nah
2. nah
3. yad
4. blue
5. c
6. i want you to achieve every dreams na sinai mo skin even without me.
7. girls
8. dunno
9. be protons, be strong, stay safe because better days will come.
10. 18
11. nah
12. nah
13. 🤗

❤ and i'll send you the questions
",excited
2020-03-12 11:03:18,1238057977262698496,Less than 5 hours 🤩 #HeartbreakWeather,"less than 5 hours 🤩 #heartbreakweather
",excited
2020-03-12 11:03:15,1238057964344401921,"Just arrived in St. Petersburg, Russia.
Everything looks surreal as hell in uptown.

Probably visiting the Hermitage Museum today and on Saturday I’m going to visit the Krestovsky Stadium aka Gazprom Arena 😍

Can’t wait to discover the beauty of this historic city 🤩","just arrived in st. petersburg, russia.
everything looks surreal as hell in uptown.

probably visiting the hermitage museum today and on saturday i’m going to visit the krestovsky stadium aka gazprom arena 😍

can’t wait to discover the beauty of this historic city 🤩
",excited
2020-03-12 11:03:08,1238057936276140033,Goodmorning today’s my Friday off until Tuesday 🤪,"goodmorning today’s my friday off until tuesday 🤪
",excited
2020-03-12 11:03:04,1238057919222108161,12 hours 🤩,"12 hours 🤩
",excited
2020-03-12 11:02:57,1238057891124457473,lol woke up w/ a cough &amp; a runny nose and I’m terrified 🤗,"low woke up w/ a cough &amp; a runny nose and i’m terrified 🤗
",excited
2020-03-12 11:02:51,1238057862351511552,One song in and omg 🤩,"one song in and org 🤩
",excited
2020-03-12 11:02:50,1238057860455694336,Today is my Friday 🤪,"today is my friday 🤪
",excited
